Entidad,Pobreza,Desocupacion,Serv_salud,Red_apoyo,Desercion,Sat_vida,Homicidios_log,Pm25_log,Analfabeta_log,No_electricidad_log,Viv_habitadas_log
Aguascalientes,23.7,0.841393219,0.828105992,-0.358724861,-0.839486102,0.662298366,-1.264056557,-0.239898922,-1.419898902,-1.853406891,-1.095109369
Baja California,13.4,-0.666383429,0.651228984,1.04428793,0.190994192,1.220023305,1.50226524,1.114353248,-0.519580047,0.483087178,0.422794314
Baja California Sur,13.3,-0.127891769,1.543653887,2.166698163,1.04380547,0.662298366,-0.662096368,-2.20282045,-1.886685865,-0.862994421,-1.755715591
Campeche,45.1,-0.450986765,0.152757416,0.687157401,0.581866028,-1.010876453,-0.566275995,0.703408161,-0.800023907,-0.607856199,-1.643623582
Coahuila,18.2,1.272186547,1.350697151,0.304517549,0.759535044,1.777748245,-1.388012244,-0.477491033,-0.836208155,-1.055754572,0.083767978
Colima,20.5,-0.450986765,1.173820143,1.63100237,0.617399831,1.777748245,2.034674605,-1.231712621,-1.581141908,-1.942584192,-1.836816329
Chiapas,67.4,-0.666383429,-2.379799743,-0.843402008,0.368663209,0.104573426,-0.88138362,1.88240608,1.828402905,1.634401927,0.648383322
Chihuahua,17.6,-0.666383429,1.205979599,-0.103631627,0.972737864,1.220023305,1.168394514,-0.660026699,-0.176736681,1.239091703,0.419581556
Ciudad de Mexico,24,2.4568682,0.627109392,-0.307706214,1.363609699,-1.568601392,-0.943364506,1.554663584,0.218330173,-1.316199839,1.641671151
Durango,34.3,0.302901559,0.506511432,0.151461608,0.901670257,0.104573426,-1.136941149,-0.721729933,-0.914555304,0.47968766,-0.753877486
Guanajuato,33,0.410599891,0.265315512,-0.63932742,0.724001241,0.104573426,1.405779605,-0.008601388,1.041328667,0.281987367,0.872234015
Guerrero,60.4,-1.74336675,-1.302457967,-1.277060507,0.901670257,-1.568601392,0.772310718,-0.721729933,1.311097275,1.076777297,0.146129961
Hidalgo,41,-0.774081762,-1.117541095,0.304517549,1.008271667,-0.453151513,-0.512370169,0.911298251,0.571061785,0.297087703,0.014383465
Jalisco,21.8,-0.558685097,-0.048239184,1.758548987,-3.788791771,0.662298366,0.105598137,-0.846460216,0.744278283,0.311995346,1.408348735
Estado de Mexico,42.9,1.810678207,-0.619069528,-2.220905476,-0.626283282,0.104573426,-0.04839805,1.554663584,1.499109367,1.068263648,2.345357516
Michoacan,41.7,-1.420271754,-1.181860007,-0.027103656,-0.555215676,-0.453151513,0.995586842,-0.660026699,1.056321315,0.302128896,0.57846532
Morelos,41.1,-0.774081762,-0.795946536,0.100442961,0.226527996,-0.453151513,1.228551601,0.272161431,-0.273436855,-1.056729745,-0.576807165
Nayarit,29.3,-0.343288433,0.192956736,0.330026873,0.297595602,0.662298366,-0.267930413,-1.77334184,-0.787781089,0.044636707,-1.188513998
Nuevo Leon,16,0.949091551,1.101461367,1.248362518,-0.27094525,1.777748245,0.185201362,-0.123484247,-0.315759633,-0.853528137,0.931058966
Oaxaca,58.4,-1.74336675,-2.347640287,-1.30256983,0.546332225,-1.568601392,-0.030884875,0.160937363,1.439484623,1.694708143,0.394614977
Puebla,54,-0.127891769,-0.948703952,-1.22604186,0.226527996,-1.568601392,-0.219206334,0.755846585,1.387389468,0.926263513,0.979168296
Queretaro,21.7,0.841393219,0.490431704,0.763685372,0.510798422,0.104573426,-0.995452659,0.544176307,-0.352576822,-0.552708919,-0.33185861
Quintana Roo,27,-0.343288433,0.329634424,0.074933638,-0.448614266,-0.453151513,0.573719476,-0.298693564,-0.743916861,-0.120847448,-0.540783528
San Luis Potosi,35.5,0.087504895,0.152757416,-0.588308773,-0.022208627,-1.010876453,0.321150011,0.272161431,0.192600964,0.739381016,-0.126452618
Sinaloa,21.6,-0.127891769,0.795946536,0.355536196,-0.875019905,1.220023305,-0.042530866,-1.498327881,-0.074040208,-0.260694539,0.010819158
Sonora,21.7,0.087504895,0.972823544,0.942250636,0.404197012,0.104573426,1.214791704,-0.660026699,-0.698336603,0.421017534,0.045494465
Tabasco,46.5,2.133773203,-0.667308712,-1.430116448,-1.621229773,-1.010876453,-0.326245424,1.602243927,0.022627732,-0.326425516,-0.330519806
Tamaulipas,26.8,0.518298223,0.691428304,0.125952285,-0.697350889,0.662298366,-0.427751103,-0.065853864,-0.250012928,0.159123237,0.32206695
Tlaxcala,52.5,0.841393219,-0.699468168,-1.634191035,-0.839486102,-1.010876453,-0.61319602,1.013416039,-1.010008092,-1.352072898,-1.267536711
Veracruz,51.7,-0.235590101,-1.021062727,-0.154650274,-1.37249315,-1.010876453,-0.755679907,0.755846585,1.838556621,1.973226388,1.443179154
Yucatan,38.8,-1.097176758,0.112558096,0.432064166,0.190994192,0.104573426,-2.118761355,-0.123484247,0.201508903,0.008746893,-0.353735607
Zacatecas,44.2,-0.235590101,-0.016079728,-0.307706214,0.119926586,0.104573426,1.692513801,-0.78387234,-0.711398219,-0.97980884,-0.906168899
