Entidad,Pobreza,Pm25,Homicidios,Desocupacion,Serv_salud,Red_apoyo,Analfabeta_15,No_electricidad,Viv_habitadas,Desercion,Sat_vida,Homicidios_log,Pm25_log,Analfabeta_log,No_electricidad_log,Viv_habitadas_log
Aguascalientes,23.7,13.9,5.9,3.8,73.8,71.9,21908.0,1210.0,386671.0,8.3,8.6,1.9315214116032138,2.7013612129514133,9.99465279028822,7.099201743553092,12.865332067422761
Baja California,13.4,16.4,74.1,2.4,71.6,77.4,52496.0,8947.0,1149563.0,11.2,8.7,4.318820558770089,2.856470206220483,10.868511304089857,9.09918532261002,13.954893298016536
Baja California Sur,13.3,10.9,10.6,2.9,82.7,81.8,13926.0,2826.0,240660.0,13.6,8.6,2.451005098112319,2.4765384001174837,9.541584681053092,7.94697135769359,12.391144583223278
Campeche,45.1,15.6,11.6,2.6,65.4,76.0,39986.0,3516.0,260824.0,12.3,8.3,2.533696813957432,2.8094026953624973,10.596309680272128,8.165363632473982,12.471604963336171
Coahuila,18.2,13.5,5.2,4.2,80.3,74.5,38606.0,2396.0,901249.0,12.8,8.8,1.8245492920510458,2.6741486494265287,10.561188886161775,7.781973234434385,13.711537967581297
Colima,20.5,12.3,117.9,2.6,78.1,79.7,18734.0,1121.0,227050.0,12.4,8.8,4.778282803696737,2.5877640352277083,9.838148711227788,7.022868086082641,12.332929940832628
Chiapas,67.4,18.0,8.6,2.4,33.9,70.0,512720.0,23972.0,1351630.0,11.7,8.5,2.2617630984737906,2.9444389791664403,13.147487116558482,10.084683476042573,14.116822569339067
Chihuahua,17.6,13.2,55.3,2.4,78.5,72.9,73223.0,17090.0,1146915.0,13.4,8.7,4.030694535145645,2.653241964607215,11.201278515064615,9.746307288148506,13.952587158904882
Ciudad de Mexico,24.0,17.3,8.1,5.3,71.3,72.1,107444.0,1917.0,2757433.0,14.5,8.2,2.2082744135228043,2.9069010598473755,11.584734367716662,7.559038255443384,14.829811095099872
Durango,34.3,13.1,6.7,3.3,69.8,73.9,35779.0,8921.0,493989.0,13.2,8.5,2.0412203288596382,2.6461747973841225,10.48514435706271,9.09627541568821,13.110270553050189
Guanajuato,33.0,14.3,68.1,3.4,66.8,70.8,238838.0,7532.0,1587234.0,12.7,8.5,4.235554730773624,2.72785282839839,12.383544963748797,8.927048647825695,14.277504066680907
Guerrero,60.4,13.1,39.0,1.4,47.3,68.3,310327.0,14873.0,942509.0,13.2,8.2,3.6888794541139363,2.6461747973841225,12.64538508162172,9.607370001263245,13.756301808327592
Hidalgo,41.0,16.0,12.2,2.3,49.6,74.5,151311.0,7630.0,857462.0,13.5,8.4,2.580216829592325,2.833213344056216,11.927099209255294,8.939974177289633,13.661733308403253
Jalisco,21.8,12.9,21.5,2.5,62.9,80.2,179014.0,7728.0,2332218.0,0.0,8.6,3.1135153092103742,2.631888840136646,12.095224880194642,8.952734767106872,14.662330732849352
Estado de Mexico,42.9,17.3,18.7,4.7,55.8,64.6,372454.0,14765.0,4569533.0,8.9,8.5,2.9806186357439426,2.9069010598473755,12.827871504135068,9.60008251961911,15.334921788305731
Michoacan,41.7,13.2,47.5,1.7,48.8,73.2,242339.0,7663.0,1285469.0,9.1,8.4,3.8815637979434374,2.653241964607215,12.398096977785514,8.944289319650697,14.066634968192893
Morelos,41.1,14.8,58.3,2.3,53.6,73.7,66663.0,2394.0,560941.0,11.3,8.4,4.08260930600368,2.760009940032921,11.107420356062043,7.781138509845015,13.23737279235078
Nayarit,29.3,11.5,15.3,2.7,65.9,74.6,40464.0,6147.0,361596.0,11.5,8.6,2.791165107812717,2.5257286443082556,10.608192681929802,8.723882104658486,12.798285611005566
Nuevo Leon,16.0,14.1,23.1,3.9,77.2,78.2,63980.0,2849.0,1655690.0,9.9,8.8,3.1822118404966093,2.714694743820879,11.066341443265703,7.955074273262696,14.31972900231358
